HALL CONDUCTANCE COEFFICIENTS (Smoothed)
Conductance Model for Extreme Events (CMEE)
Developed by Agnit Mukhopadhyay (March 2019)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
90.0	0.00	1.04	0.97	0.81	0.74	0.23	0.13
90.0	1.00	1.14	0.97	0.95	0.73	0.22	0.18
90.0	2.00	1.09	0.92	0.86	0.68	0.14	0.16
90.0	3.00	1.09	0.92	0.86	0.68	0.12	0.15
90.0	4.00	1.11	0.94	0.86	0.69	0.11	0.11
90.0	5.00	1.01	0.95	0.74	0.68	0.09	0.06
90.0	6.00	0.94	1.08	0.67	0.80	0.07	0.06
90.0	7.00	0.91	1.08	0.64	0.80	0.06	0.06
90.0	8.00	1.21	1.15	0.95	0.87	0.06	0.06
90.0	9.00	1.27	1.19	0.99	0.92	0.08	0.05
90.0	10.00	1.36	1.19	1.06	0.88	0.10	0.05
90.0	11.00	1.39	1.22	1.05	0.88	0.08	0.05
90.0	12.00	1.40	1.24	1.06	0.90	0.08	0.07
90.0	13.00	1.43	1.27	1.09	0.93	0.08	0.10
90.0	14.00	1.45	1.29	1.11	0.95	0.06	0.10
90.0	15.00	1.32	1.32	1.03	1.04	0.10	0.09
90.0	16.00	1.29	1.37	1.00	1.09	0.10	0.06
90.0	17.00	1.17	1.33	0.94	1.11	0.10	0.04
90.0	18.00	1.18	1.27	0.95	1.01	0.07	0.02
90.0	19.00	0.92	1.09	0.72	0.83	0.08	0.02
90.0	20.00	0.85	1.02	0.67	0.76	0.06	0.02
90.0	21.00	0.85	1.01	0.65	0.78	0.07	0.07
90.0	22.00	0.85	1.01	0.62	0.78	0.10	0.11
90.0	23.00	1.06	0.97	0.83	0.74	0.23	0.13
88.0	0.00	1.14	0.97	0.90	0.73	0.21	0.16
88.0	1.00	1.14	0.97	0.92	0.74	0.19	0.16
88.0	2.00	1.15	0.98	0.90	0.74	0.14	0.14
88.0	3.00	1.11	0.94	0.85	0.68	0.13	0.14
88.0	4.00	1.14	0.97	0.88	0.70	0.12	0.10
88.0	5.00	1.01	1.04	0.76	0.77	0.11	0.08
88.0	6.00	0.93	1.04	0.66	0.77	0.07	0.07
88.0	7.00	0.94	1.10	0.67	0.82	0.06	0.05
88.0	8.00	1.21	1.17	0.91	0.86	0.06	0.05
88.0	9.00	1.27	1.29	0.93	0.95	0.06	0.04
88.0	10.00	1.38	1.42	1.04	1.08	0.07	0.06
88.0	11.00	1.37	1.25	1.01	0.89	0.10	0.05
88.0	12.00	1.36	1.26	0.97	0.87	0.10	0.10
88.0	13.00	1.33	1.28	0.94	0.89	0.07	0.08
88.0	14.00	1.44	1.27	1.06	0.89	0.07	0.10
88.0	15.00	1.29	1.35	1.16	1.20	0.07	0.10
88.0	16.00	1.32	1.36	1.04	1.08	0.10	0.11
88.0	17.00	1.19	1.35	0.93	1.11	0.11	0.05
88.0	18.00	1.18	1.35	0.91	1.08	0.09	0.04
88.0	19.00	1.15	1.22	0.90	0.96	0.11	0.03
88.0	20.00	0.85	1.02	0.60	0.77	0.07	0.04
88.0	21.00	0.84	1.01	0.61	0.78	0.11	0.08
88.0	22.00	0.93	1.01	0.69	0.78	0.11	0.11
88.0	23.00	0.98	0.94	0.75	0.71	0.14	0.14
86.0	0.00	1.11	1.06	0.90	0.83	0.23	0.16
86.0	1.00	1.12	0.99	0.90	0.76	0.20	0.15
86.0	2.00	1.04	1.00	0.83	0.78	0.17	0.14
86.0	3.00	1.16	1.00	0.93	0.77	0.17	0.11
86.0	4.00	1.10	0.98	0.84	0.72	0.21	0.10
86.0	5.00	1.06	0.98	0.79	0.72	0.16	0.10
86.0	6.00	0.90	1.00	0.63	0.73	0.11	0.10
86.0	7.00	1.01	1.08	0.73	0.80	0.09	0.13
86.0	8.00	1.01	1.24	0.76	0.97	0.09	0.12
86.0	9.00	1.29	1.46	1.04	1.21	0.10	0.07
86.0	10.00	1.33	1.50	1.07	1.24	0.11	0.13
86.0	11.00	1.31	1.35	1.02	1.06	0.11	0.11
86.0	12.00	1.42	1.40	1.10	1.06	0.11	0.11
86.0	13.00	1.35	1.27	1.13	0.94	0.09	0.11
86.0	14.00	1.34	1.29	1.02	0.92	0.08	0.11
86.0	15.00	1.31	1.39	1.17	1.24	0.08	0.12
86.0	16.00	1.24	1.41	1.02	1.16	0.09	0.11
86.0	17.00	1.30	1.46	1.16	1.30	0.11	0.11
86.0	18.00	1.27	1.44	1.06	1.20	0.10	0.08
86.0	19.00	1.04	1.24	0.82	1.04	0.16	0.10
86.0	20.00	0.89	1.05	0.68	0.82	0.11	0.08
86.0	21.00	0.88	1.05	0.66	0.83	0.11	0.13
86.0	22.00	0.85	1.02	0.63	0.79	0.12	0.12
86.0	23.00	0.93	1.02	0.69	0.79	0.15	0.15
84.0	0.00	1.06	1.05	0.83	0.82	0.21	0.16
84.0	1.00	1.06	1.06	0.83	0.82	0.21	0.15
84.0	2.00	1.11	1.12	0.85	0.87	0.21	0.12
84.0	3.00	1.13	1.04	0.84	0.76	0.22	0.11
84.0	4.00	1.10	1.11	0.80	0.80	0.28	0.11
84.0	5.00	1.02	1.08	0.74	0.78	0.29	0.11
84.0	6.00	1.02	1.08	0.72	0.77	0.21	0.11
84.0	7.00	1.08	1.13	0.81	0.83	0.09	0.10
84.0	8.00	1.10	1.25	0.74	0.90	0.08	0.08
84.0	9.00	1.27	1.43	0.93	1.09	0.09	0.12
84.0	10.00	1.29	1.46	0.95	1.12	0.12	0.12
84.0	11.00	1.47	1.46	1.12	1.11	0.11	0.11
84.0	12.00	1.36	1.48	1.00	1.10	0.11	0.10
84.0	13.00	1.31	1.38	0.93	0.99	0.08	0.08
