HALL CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
90.0	0.0	2.62	2.66	0.16	0.22	0.32	0.21
90.0	1.0	2.72	2.75	0.15	0.19	0.27	0.16
90.0	2.0	2.76	2.77	0.10	0.15	0.22	0.18
90.0	3.0	2.77	2.81	0.08	0.18	0.12	0.16
90.0	4.0	2.83	2.89	0.06	0.20	0.09	0.15
90.0	5.0	2.86	2.94	0.06	0.18	0.07	0.08
90.0	6.0	3.03	3.12	0.08	0.18	0.04	0.04
90.0	7.0	3.24	3.27	0.11	0.17	0.06	0.04
90.0	8.0	3.45	3.49	0.10	0.18	0.04	0.02
90.0	9.0	3.56	3.59	0.11	0.17	0.03	0.02
90.0	10.0	3.58	3.60	0.12	0.16	0.06	0.03
90.0	11.0	3.67	3.65	0.12	0.14	0.18	0.05
90.0	12.0	3.71	3.65	0.17	0.10	0.11	0.13
90.0	13.0	3.80	3.73	0.20	0.07	0.06	0.07
90.0	14.0	3.86	3.79	0.21	0.13	0.06	0.09
90.0	15.0	3.97	3.88	0.22	0.12	0.04	0.06
90.0	16.0	4.10	4.03	0.20	0.17	0.12	0.03
90.0	17.0	4.00	4.00	0.14	0.19	0.18	0.02
90.0	18.0	3.80	3.83	0.10	0.21	0.11	0.02
90.0	19.0	3.52	3.58	0.15	0.21	0.06	0.02
90.0	20.0	3.26	3.35	0.14	0.23	0.06	0.01
90.0	21.0	3.04	3.13	0.16	0.22	0.03	0.03
90.0	22.0	2.81	2.87	0.14	0.18	0.07	0.11
90.0	23.0	2.68	2.75	0.13	0.18	0.15	0.11
88.0	0.0	2.70	2.73	0.15	0.21	0.24	0.20
88.0	1.0	2.79	2.81	0.12	0.17	0.19	0.13
88.0	2.0	2.81	2.83	0.09	0.15	0.14	0.16
88.0	3.0	2.83	2.90	0.07	0.18	0.06	0.14
88.0	4.0	2.89	2.98	0.08	0.19	0.12	0.11
88.0	5.0	2.94	3.04	0.08	0.17	0.11	0.04
88.0	6.0	3.16	3.23	0.12	0.20	0.08	0.06
88.0	7.0	3.39	3.42	0.13	0.19	0.06	0.06
88.0	8.0	3.58	3.63	0.12	0.20	0.03	0.07
88.0	9.0	3.64	3.66	0.14	0.19	0.04	0.08
88.0	10.0	3.65	3.65	0.15	0.17	0.11	0.08
88.0	11.0	3.72	3.70	0.15	0.14	0.16	0.10
88.0	12.0	3.75	3.71	0.19	0.12	0.08	0.13
88.0	13.0	3.82	3.77	0.21	0.12	0.04	0.09
88.0	14.0	3.87	3.81	0.22	0.16	0.04	0.10
88.0	15.0	3.97	3.90	0.21	0.16	0.06	0.06
88.0	16.0	3.99	3.96	0.18	0.20	0.16	0.04
88.0	17.0	3.81	3.85	0.10	0.21	0.15	0.07
88.0	18.0	3.60	3.65	0.11	0.20	0.08	0.04
88.0	19.0	3.35	3.44	0.14	0.21	0.07	0.02
88.0	20.0	3.12	3.23	0.13	0.24	0.11	0.02
88.0	21.0	2.91	3.00	0.14	0.21	0.06	0.07
88.0	22.0	2.72	2.78	0.12	0.17	0.10	0.13
88.0	23.0	2.65	2.72	0.12	0.16	0.23	0.11
86.0	0.0	2.83	2.89	0.15	0.24	0.10	0.16
86.0	1.0	2.86	2.94	0.12	0.21	0.13	0.09
86.0	2.0	2.90	2.97	0.12	0.18	0.10	0.12
86.0	3.0	2.91	3.01	0.11	0.16	0.14	0.11
86.0	4.0	2.94	3.05	0.15	0.16	0.32	0.08
86.0	5.0	2.98	3.07	0.16	0.19	0.27	0.08
86.0	6.0	3.14	3.21	0.18	0.26	0.15	0.18
86.0	7.0	3.32	3.38	0.17	0.25	0.06	0.20
86.0	8.0	3.52	3.56	0.20	0.27	0.04	0.25
86.0	9.0	3.62	3.65	0.23	0.25	0.07	0.23
86.0	10.0	3.68	3.73	0.22	0.27	0.08	0.15
86.0	11.0	3.73	3.82	0.21	0.27	0.12	0.12
86.0	12.0	3.72	3.81	0.21	0.30	0.10	0.16
86.0	13.0	3.69	3.74	0.21	0.27	0.06	0.17
86.0	14.0	3.63	3.65	0.20	0.23	0.06	0.17
86.0	15.0	3.62	3.64	0.20	0.22	0.08	0.13
86.0	16.0	3.63	3.61	0.20	0.22	0.11	0.18
86.0	17.0	3.61	3.61	0.11	0.21	0.09	0.24
86.0	18.0	3.57	3.60	0.11	0.19	0.14	0.12
86.0	19.0	3.41	3.57	0.11	0.28	0.21	0.06
86.0	20.0	3.19	3.36	0.10	0.28	0.28	0.07
86.0	21.0	2.99	3.12	0.09	0.24	0.11	0.09
86.0	22.0	2.86	2.94	0.10	0.22	0.12	0.14
86.0	23.0	2.78	2.86	0.12	0.19	0.29	0.11
84.0	0.0	2.89	3.02	0.20	0.36	0.25	0.16
84.0	1.0	2.89	3.02	0.17	0.33	0.28	0.15
84.0	2.0	2.93	3.01	0.18	0.29	0.21	0.15
84.0	3.0	2.94	3.04	0.19	0.24	0.28	0.07
84.0	4.0	2.96	3.07	0.20	0.20	0.38	0.06
84.0	5.0	2.99	3.10	0.22	0.25	0.29	0.11
84.0	6.0	3.02	3.14	0.19	0.34	0.17	0.23
84.0	7.0	3.07	3.21	0.23	0.37	0.14	0.26
84.0	8.0	3.21	3.29	0.26	0.35	0.10	0.28
84.0	9.0	3.44	3.55	0.27	0.38	0.12	0.22
84.0	10.0	3.69	3.81	0.29	0.41	0.15	0.14
84.0	11.0	3.84	4.00	0.30	0.44	0.20	0.13
84.0	12.0	3.82	4.03	0.29	0.53	0.17	0.15
84.0	13.0	3.69	3.89	0.26	0.50	0.16	0.18
84.0	14.0	3.59	3.71	0.23	0.36	0.14	0.19
