PEDERSEN CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
90.0	0.0	0.93	0.92	0.08	0.07	0.37	0.18
90.0	1.0	0.95	0.94	0.08	0.07	0.39	0.17
90.0	2.0	0.96	0.95	0.06	0.07	0.59	0.13
90.0	3.0	0.96	0.96	0.05	0.06	0.30	0.07
90.0	4.0	0.98	0.99	0.04	0.07	0.16	0.08
90.0	5.0	0.97	1.00	0.02	0.07	0.24	0.04
90.0	6.0	1.01	1.05	0.02	0.07	0.35	0.04
90.0	7.0	1.05	1.08	0.03	0.07	0.18	0.02
90.0	8.0	1.11	1.13	0.03	0.07	0.19	0.01
90.0	9.0	1.14	1.15	0.05	0.06	0.15	0.01
90.0	10.0	1.14	1.15	0.06	0.06	0.10	0.01
90.0	11.0	1.17	1.18	0.05	0.06	0.06	0.02
90.0	12.0	1.20	1.19	0.06	0.04	0.04	0.01
90.0	13.0	1.23	1.22	0.07	0.04	0.06	0.04
90.0	14.0	1.25	1.24	0.07	0.05	0.04	0.07
90.0	15.0	1.29	1.28	0.08	0.06	0.03	0.04
90.0	16.0	1.33	1.32	0.07	0.07	0.02	0.03
90.0	17.0	1.31	1.32	0.05	0.08	0.01	0.02
90.0	18.0	1.25	1.27	0.04	0.09	0.00	0.03
90.0	19.0	1.16	1.19	0.06	0.09	0.08	0.02
90.0	20.0	1.09	1.12	0.07	0.09	0.09	0.02
90.0	21.0	1.04	1.06	0.07	0.08	0.10	0.01
90.0	22.0	0.98	0.99	0.07	0.08	0.15	0.15
90.0	23.0	0.95	0.95	0.07	0.06	0.23	0.08
88.0	0.0	0.95	0.94	0.08	0.08	0.30	0.19
88.0	1.0	0.98	0.96	0.07	0.07	0.38	0.13
88.0	2.0	0.98	0.97	0.05	0.06	0.43	0.09
88.0	3.0	0.98	0.99	0.04	0.06	0.14	0.09
88.0	4.0	0.99	1.01	0.04	0.07	0.17	0.07
88.0	5.0	0.99	1.03	0.03	0.07	0.31	0.04
88.0	6.0	1.04	1.08	0.04	0.08	0.29	0.07
88.0	7.0	1.10	1.12	0.04	0.07	0.13	0.05
88.0	8.0	1.15	1.17	0.05	0.08	0.14	0.06
88.0	9.0	1.17	1.17	0.08	0.07	0.12	0.06
88.0	10.0	1.17	1.17	0.07	0.06	0.08	0.05
88.0	11.0	1.20	1.20	0.06	0.06	0.06	0.03
88.0	12.0	1.23	1.22	0.08	0.05	0.05	0.04
88.0	13.0	1.25	1.24	0.07	0.05	0.06	0.08
88.0	14.0	1.27	1.25	0.08	0.06	0.03	0.06
88.0	15.0	1.29	1.29	0.07	0.08	0.03	0.05
88.0	16.0	1.31	1.31	0.06	0.08	0.02	0.04
88.0	17.0	1.26	1.28	0.05	0.08	0.07	0.04
88.0	18.0	1.19	1.22	0.04	0.09	0.04	0.05
88.0	19.0	1.12	1.15	0.07	0.09	0.16	0.03
88.0	20.0	1.06	1.10	0.06	0.09	0.10	0.03
88.0	21.0	1.00	1.03	0.06	0.09	0.15	0.07
88.0	22.0	0.96	0.96	0.06	0.07	0.20	0.13
88.0	23.0	0.95	0.95	0.07	0.06	0.30	0.05
86.0	0.0	1.00	1.00	0.07	0.10	0.09	0.17
86.0	1.0	1.01	1.02	0.07	0.08	0.13	0.09
86.0	2.0	1.02	1.02	0.07	0.07	0.12	0.11
86.0	3.0	1.01	1.04	0.07	0.06	0.17	0.16
86.0	4.0	1.01	1.04	0.08	0.07	0.34	0.09
86.0	5.0	1.02	1.05	0.08	0.08	0.31	0.10
86.0	6.0	1.07	1.09	0.09	0.12	0.21	0.21
86.0	7.0	1.12	1.14	0.09	0.11	0.12	0.21
86.0	8.0	1.17	1.18	0.10	0.11	0.07	0.26
86.0	9.0	1.20	1.19	0.12	0.11	0.13	0.23
86.0	10.0	1.22	1.22	0.11	0.10	0.14	0.13
86.0	11.0	1.25	1.25	0.11	0.10	0.13	0.09
86.0	12.0	1.25	1.25	0.10	0.10	0.11	0.12
86.0	13.0	1.24	1.24	0.09	0.09	0.08	0.12
86.0	14.0	1.22	1.21	0.08	0.08	0.07	0.10
86.0	15.0	1.21	1.21	0.07	0.08	0.05	0.13
86.0	16.0	1.21	1.21	0.07	0.08	0.09	0.14
86.0	17.0	1.21	1.20	0.06	0.07	0.17	0.11
86.0	18.0	1.20	1.21	0.05	0.08	0.14	0.11
86.0	19.0	1.15	1.21	0.05	0.11	0.26	0.08
86.0	20.0	1.09	1.15	0.04	0.12	0.15	0.08
86.0	21.0	1.03	1.07	0.05	0.10	0.21	0.06
86.0	22.0	1.01	1.02	0.07	0.09	0.24	0.08
86.0	23.0	0.99	1.01	0.08	0.09	0.36	0.06
84.0	0.0	1.03	1.05	0.08	0.14	0.19	0.14
84.0	1.0	1.04	1.05	0.08	0.12	0.22	0.11
84.0	2.0	1.05	1.05	0.08	0.09	0.18	0.09
84.0	3.0	1.04	1.06	0.08	0.09	0.29	0.12
84.0	4.0	1.04	1.07	0.10	0.10	0.42	0.07
84.0	5.0	1.05	1.08	0.12	0.12	0.33	0.09
84.0	6.0	1.06	1.09	0.11	0.15	0.21	0.22
84.0	7.0	1.08	1.10	0.12	0.15	0.16	0.27
84.0	8.0	1.11	1.12	0.12	0.15	0.12	0.29
84.0	9.0	1.18	1.20	0.13	0.16	0.14	0.21
84.0	10.0	1.26	1.28	0.15	0.16	0.15	0.13
84.0	11.0	1.33	1.35	0.16	0.18	0.18	0.11
84.0	12.0	1.32	1.35	0.16	0.21	0.17	0.14
84.0	13.0	1.27	1.30	0.15	0.19	0.15	0.17
84.0	14.0	1.24	1.25	0.13	0.15	0.11	0.18
