Solstice, F10.7 = 230
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 6640   65724  -4618 -1980 -4209 -1563    48   417  -102  -166   386  -394   240   215   337  -122   320
 6648   63750  -4732 -1811 -4105 -1389   -33   468   -93  -160   402  -420   213   197   343   -57   329
 6663   60008  -4626 -1734 -4113 -1344   -52   423   -35  -182   369  -407   213   140   375   -40   355
 6686   55538  -4518 -1670 -4049 -1306  -136   403   -46  -187   404  -323   201   159   379    -7   269
 6717   51007  -4532 -1593 -4060 -1180  -137   409   -76  -246   416  -316   203   160   420   -87   266
 6756   46808  -4440 -1434 -3922 -1086  -173   365   -15  -285   370  -347   237   104   391  -126   237
 6803   42988  -4245 -1378 -3866 -1022  -188   335   -20  -232   414  -395   201    27   449  -102   214
 6859   39570  -4056 -1292 -3786 -1078  -195   320    17  -197   438  -360   149     8   416  -171   211
 6925   36525  -3988 -1165 -3654 -1121  -199   332    26  -226   395  -335   189   -33   393  -150   224
 7000   33496  -3837 -1053 -3553 -1217  -148   289    23  -208   337  -357   157   -40   361  -148   199
 7085   30720  -3648  -929 -3459 -1251  -160   252    49  -227   235  -367   108     6   345  -137   166
 7182   28114  -3426  -889 -3325 -1251  -142   215   -28  -164   282  -382    73    53   346  -111   167
 7290   25656  -3181  -877 -3252 -1216  -182   168   -34  -144   233  -326    43    32   380   -63   166
 7410   23328  -2924  -797 -3059 -1136  -193   141    64  -162   192  -330   -17    -1   314   -67   105
 7545   21088  -2789  -722 -2874 -1145  -122    93    12  -131   239  -296    34   -79   358   -76    71
 7695   18933  -2652  -750 -2704 -1091  -116    11    71  -142   178  -259   -40   -85   286    -1   -16
 7861   16947  -2417  -658 -2561 -1212  -145    39    48  -117   190  -211   -71   -86   239    60    43
 8046   15079  -2191  -582 -2424 -1087  -162    29    31   -45   140  -195  -110  -101   297    -9    38
 8252   13300  -2046  -485 -2208  -950   -96   -51    16   -83   121  -206   -90  -122   242   -44    36
 8481   11638  -1727  -422 -2055  -883   -54   -86    40   -35    68  -197  -138   -43   216   -98    44
 8736   10113  -1588  -388 -1947  -816  -107   -67    -9     1    99  -208  -138  -107   168  -109    29
 9021    8744  -1412  -378 -1715  -898  -120   -83    51   -18    93  -111  -189  -117   182   -10   -15
 9340    7534  -1233  -282 -1614  -815  -160  -129    50    53    56  -101  -235   -14   211    64    59
 9698    6425   -935  -270 -1481  -863   -75  -146   -26   104    79   -34  -169     1   157    15    39
10103    5433   -764  -166 -1249  -828   -68  -269    64    80   118  -105  -197   -22    67   -44    36
10562    4570   -613   -90 -1006  -799  -117  -251   166   102   -42  -181  -149    39   119    48   -35
11086    3782   -573  -113  -978  -698   -34  -140   172   108   -14  -148  -154   -54   130    46   -92
11688    3118   -475  -141  -891  -825   -16  -140   234   193   183  -161    12   -90    56     3   -51
12386    2531   -474  -174  -809  -764   -36  -253   309   157   169    -1   107   -19    26    54   -18
13202    2019   -299  -190  -649  -713   -67  -196   312    75    -4    20    90   112    15   169    80
14169    1601   -205  -287  -541  -709    41  -115   376    44   -25   119   123   -38    54    62    71
15328    1251    -95  -276  -424  -805   133  -240   458    88  -179   105   133   -31   -89    57    85
16743     961    -79  -304  -354  -798   332  -378   259    94   -93    57    73    22  -130    40    11
18505     720    210  -455  -314  -729   463  -321   511   116  -175    57   -91    58   -74    66  -161
20757     521    248  -841     1  -776   535   -50   777   215  -204   -13   -65   -43   143   107    -8
23731     363    180  -833     1  -789   782   -20   912   176   -92  -103  -167   -80    -8   130    26
27839     242   -177  -944   -76 -1426  1071  -103  1249   152   190   -81    -1  -168    -8  -106   -48
33877     145   -308 -1461  -217 -1779  1280   -12  1003   128   314    16   -52  -298  -239  -227   -94
43629      74   -658 -1948  -248 -1825  1585    46  1276   222   404    85  -126  -265  -137  -327    93
62126      26  -1345 -2642  -565 -1932  2321   134  1764   -53   521   -74  -200  -324  -284  -250    33


