                          MAX VALUE     MAX LATITUDE    UP-SLOPE    DOWN-SLOPE
ENERGY    KP=0    CONSTANT   7.7896976  73.0708333    .2191803   -.0859725
                  COSINE 1    .0002967  -3.3538923    .0563385   -.0398150
                  COSINE 2    .0768187  -1.0653413    .0123579   -.0220984
                  COSINE 3    .0935700   1.2190125   -.0517093   -.0131578
                  COSINE 4    .0028059   -.5114249   -.0055988    .0168468
                  COSINE 5    .0147765   -.2189668    .0006074    .0119485
                  COSINE 6    .0021958   -.5446280    .0332549    .0146299
                  SINE   1    .0462879  -1.8623847    .0125471   -.0011417
                  SINE   2    .0240691   -.0758685   -.0234464   -.0234705
                  SINE   3   -.0399482    .0309485   -.0165087   -.0098271
                  SINE   4   -.0516997    .1384184   -.0043154   -.0043996
                  SINE   5   -.0441358    .3436580    .0084612   -.0008923
                  SINE   6   -.0008464   -.4349738    .0357420    .0028314
ENERGY    KP=1    CONSTANT   8.0364974  71.1875000    .2490905   -.0888827
                  COSINE 1    .1961799  -3.4878153    .0606912   -.0293764
                  COSINE 2   -.0023255   -.3527452   -.0225351   -.0113256
                  COSINE 3    .0429868    .6444892   -.0143288   -.0089596
                  COSINE 4   -.0433994   -.6410611    .0232768    .0217679
                  COSINE 5    .0277324    .1732289   -.0054526    .0050594
                  COSINE 6    .0029320   -.3896202    .0075123    .0104945
                  SINE   1    .0797814  -2.5027481    .0401181    .0185842
                  SINE   2   -.0235719    .3886167    .0029146   -.0027588
                  SINE   3   -.0169762   -.5568983    .0015539    .0201468
                  SINE   4   -.0148749    .0725993   -.0051051    .0060130
                  SINE   5    .0137977   -.1717545    .0189600   -.0000570
                  SINE   6    .0014145   -.0497699    .0240313   -.0025187
ENERGY    KP=2    CONSTANT   8.2850158  70.4062500    .2460024   -.1171000
                  COSINE 1    .2665715  -3.8822697    .0563624   -.0200770
                  COSINE 2    .0095929   -.3345333   -.0173165    .0023607
                  COSINE 3    .0562738    .6493035   -.0081089   -.0113432
                  COSINE 4   -.0444980   -.6410611    .0582433    .0152396
                  COSINE 5    .0108284    .2531377    .0166424   -.0013597
                  COSINE 6   -.0015142   -.0962376   -.0085391    .0016201
                  SINE   1    .1217648  -2.4335720    .0302470    .0199753
                  SINE   2   -.0444369    .0509922   -.0246440   -.0037281
                  SINE   3    .0387839   -.8521281   -.0103219   -.0042125
                  SINE   4   -.0061023   -.0697097    .0129462    .0030722
                  SINE   5    .0427911   -.3485596    .0384384   -.0066734
                  SINE   6   -.0082458    .3252729    .0147419   -.0018083
ENERGY    KP=3    CONSTANT   8.4772806  69.2812500    .2753726   -.1115326
                  COSINE 1    .3651667  -4.0683244    .1151785   -.0220689
                  COSINE 2   -.1059687   -.1225232    .0234371    .0178650
                  COSINE 3    .0324384   -.0178301    .0314753   -.0018842
                  COSINE 4   -.0132120   -.6356690    .0288739    .0074899
                  COSINE 5    .0591799   -.0265770   -.0154872   -.0040025
                  COSINE 6   -.0081149   -.1759633   -.0112962   -.0021947
                  SINE   1    .1096211  -2.4959098    .0372748    .0126324
                  SINE   2   -.0351757    .2854165    .0397184   -.0011085
                  SINE   3    .0659091   -.9594749    .0534929   -.0084360
                  SINE   4    .0254995    .5512278    .0172888   -.0020236
                  SINE   5   -.0133701    .0565716   -.0011013   -.0049755
                  SINE   6    .0145300    .3412180    .0037713   -.0052334
ENERGY    KP=4    CONSTANT   8.5195810  68.6770833    .2266293   -.1344448
                  COSINE 1    .4168092  -3.7241896    .0254753   -.0081620
                  COSINE 2   -.1601158    .7259087   -.0633029    .0008903
                  COSINE 3    .0078810   -.0121933    .0125143   -.0051142
                  COSINE 4    .0092577   -.4427162    .0234768    .0159459
                  COSINE 5    .0509579    .2728201   -.0247079   -.0182547
                  COSINE 6   -.0051431   -.0511379   -.0249497    .0008094
                  SINE   1    .1571118  -2.0812021    .0033675    .0227951
                  SINE   2   -.1385018    .6227584   -.0079194   -.0133774
                  SINE   3    .0342856   -.7456933    .0167988    .0098810
                  SINE   4    .0149269    .8020486   -.0306430   -.0192107
                  SINE   5    .0042574    .1579351   -.0123330   -.0095057
                  SINE   6    .0350032   -.2933826    .0294261    .0093728
ENERGY    KP=5    CONSTANT   8.5256150  67.5500000    .1829103   -.1114507
                  COSINE 1    .3833655  -3.3575591    .0248435    .0032621
