Observation time: 1998.05.01_11:12:30
Central Carrington longitude: 135.1
B0 angle & Nmax:       -4.1948652          90
       0       0    -0.145190      0.00000
       1       0      1.81710      0.00000
       1       1     0.611331    -0.424721
       2       0     0.121036      0.00000
       2       1     0.369230    -0.462784
       2       2     0.521993      1.90727
       3       0      2.67583      0.00000
       3       1    -0.338318    -0.781601
       3       2     -1.12498     -2.26332
       3       3     0.915226      1.48222
       4       0     0.432984      0.00000
       4       1     0.476487    -0.442258
       4       2     0.349802      1.13803
       4       3     -2.65929     -1.53029
       4       4     0.101718    -0.701018
       5       0      2.10034      0.00000
       5       1    -0.529191     0.334669
       5       2    0.0742670     0.981628
       5       3      1.64532      1.40010
       5       4      2.52624    -0.152063
       5       5     -1.97871    -0.948430
       6       0     0.846698      0.00000
       6       1     -1.42914     0.536064
       6       2   -0.0246579     -3.58869
       6       3     0.138717      1.25714
       6       4   -0.0373856    -0.112097
       6       5      2.82563      1.08806
       6       6     0.451609     0.703195
       7       0    -0.323617      0.00000
       7       1      1.98335    -0.183287
       7       2    -0.463281      1.12622
       7       3    -0.508777     -1.80889
       7       4     -1.16605    -0.849386
       7       5     -3.20789     0.642793
       7       6    -0.850952     -2.64843
       7       7      2.06045      1.79273
       8       0      2.04025      0.00000
       8       1     0.926131    -0.642093
       8       2     0.591417      1.74016
       8       3      1.87476     0.264927
       8       4     0.507806      1.76863
       8       5    -0.129323    -0.805017
       8       6     0.883220   -0.0774980
       8       7     -2.14359     -3.28117
       8       8     -3.19615    -0.427426
       9       0     -1.86479      0.00000
       9       1     -1.36125    -0.339538
       9       2     0.735357     -1.30833
       9       3    -0.149130     0.858790
       9       4    -0.976329    -0.565943
       9       5      2.50183      2.18484
       9       6     0.321071    -0.154831
       9       7      4.30270      3.68360
       9       8      2.53310      1.16041
       9       9    -0.721192     -1.27634
      10       0     0.635284      0.00000
      10       1     0.811100    -0.287408
      10       2    -0.882877     0.629625
      10       3     -1.10491     -1.34786
      10       4    0.0854391    -0.973252
      10       5     -2.11663     -1.42347
      10       6   -0.0487310    -0.353842
      10       7     -1.45292    -0.610922
      10       8     -4.27359    -0.695162
      10       9      1.86941      3.76519
      10      10     -1.14200      1.17576
      11       0    -0.964079      0.00000
      11       1    -0.197789     -1.00830
      11       2    -0.263145     0.666062
      11       3    -0.762791     0.510750
      11       4      1.93868      1.25940
      11       5      1.32025     -1.63597
      11       6     0.605799     0.569161
      11       7     -3.44556     -2.44050
      11       8     0.410627    0.0371190
      11       9     -1.62612     -2.21408
      11      10    -0.960163      1.83496
      11      11     0.601155     -1.00914
      12       0      1.11697      0.00000
      12       1     -1.05455     0.441436
      12       2     0.667416     -2.15887
      12       3     0.570806      1.94324
      12       4    -0.650886     -1.59205
      12       5      1.86113      1.79473
      12       6     -1.23711      1.34043
      12       7      2.81501      2.75416
      12       8      3.27303     0.462279
      12       9      2.51196    -0.542942
      12      10     -1.70049      2.73036
      12      11     -4.75598      4.68844
      12      12      1.14314     0.590131
      13       0     -1.83865      0.00000
      13       1      1.56100    0.0542796
      13       2    -0.508855     0.736288
      13       3     0.335338    -0.132762
      13       4     -1.29838    -0.803362
      13       5     -3.01569    -0.977899
      13       6    -0.681720    -0.877901
      13       7     -2.26483    -0.694124
      13       8    -0.924387     -1.08261
      13       9     0.149800    0.0183001
      13      10    -0.488096     0.828688
      13      11     0.883705     -3.08818
      13      12    -0.442240      1.40084
      13      13    -0.358793     0.345792
      14       0      1.48630      0.00000
      14       1      1.24894     -1.41058
      14       2   -0.0684705      2.20346
      14       3    -0.251073     0.199439
      14       4    -0.410200      2.63372
      14       5     0.507745     0.348822
      14       6      1.09438    -0.717903
      14       7    -0.220867     -2.22034
      14       8     0.115237     0.859679
      14       9     -1.72113     -1.23805
      14      10      1.53822     0.204363
      14      11     -1.66172      1.52404
      14      12      4.36666     0.240878
      14      13     -1.33058      1.46970
      14      14      1.08989      1.25008
      15       0     0.484348      0.00000
      15       1    -0.845075     0.761225
      15       2     0.740386     -1.02846
      15       3      1.26300     0.952650
      15       4    -0.201648     -1.31293
