Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

       0       0      0.00000      0.00000
       1       0     -3.02397      0.00000
       1       1    -0.273845   -0.0625895
       2       0    -0.858736      0.00000
       2       1    -0.553467   -0.0706908
       2       2     -1.04001     0.478660
       3       0     -4.79286      0.00000
       3       1     0.862314    -0.136342
       3       2    -0.280977    -0.813879
       3       3      1.10082      1.00327
       4       0     0.320269      0.00000
       4       1     0.650152    -0.471535
       4       2      1.14639     -1.13729
       4       3    -0.537822     0.266349
       4       4      1.30363    -0.958809
       5       0    -0.778570      0.00000
       5       1    0.0382168    -0.342652
       5       2   -0.0504286      1.46235
       5       3     -1.24259     -1.55546
       5       4      3.20981    -0.758224
       5       5     -2.05573    -0.263046
       6       0    -0.616831      0.00000
       6       1      1.39512     0.273551
       6       2     -1.34937     0.144466
       6       3      1.36632    -0.796121
       6       4     -1.36091     0.670954
       6       5     -1.26297     -2.41548
       6       6     -1.86904      2.52251
       7       0    -0.434697      0.00000
       7       1     0.755948    -0.209163
       7       2    0.0107241     -1.13472
       7       3      1.08321     0.364809
       7       4     -4.11207     0.238896
       7       5      1.61972     0.366236
       7       6     -2.94871      1.79754
       7       7      2.78091     -2.53310
       8       0     0.388716      0.00000
       8       1     -1.82577    -0.997206
       8       2     0.253003      1.28970
       8       3     -1.91005     0.238999
       8       4     0.870272    -0.329889
       8       5      1.11239      3.56832
       8       6      1.56050   -0.0115004
       8       7      1.03534      1.67334
       8       8      1.19780     -3.55249
       9       0     0.281394      0.00000
       9       1    -0.595078     -1.00367
       9       2    -0.192227      1.26601
       9       3    -0.822316    -0.176985
       9       4      3.38760     0.482152
       9       5     -1.18859   -0.0407240
       9       6      2.95821     -1.32281
       9       7     -1.02044      1.39209
       9       8    -0.316243     -1.30190
       9       9     -1.21747      1.06281
      10       0    -0.111865      0.00000
      10       1     0.726127      1.84012
      10       2     0.742184    -0.270300
      10       3      1.60969     0.148663
      10       4    -0.211116     0.252594
      10       5     0.379745     -2.97936
      10       6    -0.201404    -0.922257
      10       7     -2.19387     -2.52746
      10       8    -0.249437     0.517075
      10       9     -4.29562      4.62924
      10      10   -0.0627090      4.30119
      11       0      1.64730      0.00000
      11       1    -0.293629     0.660592
      11       2    0.0156149     -1.30252
      11       3     0.797319    -0.580185
      11       4     -1.75575     -2.34269
      11       5      1.02928   -0.0106714
      11       6     -1.76634     0.840630
      11       7     0.684522    -0.951599
      11       8    -0.656714      1.71569
      11       9      1.00695     -1.04742
      11      10      2.48056      4.12734
      11      11     -2.34543     -3.23459
      12       0    -0.521964      0.00000
      12       1     0.509800     -1.17875
      12       2     -1.93986    -0.961325
      12       3     -1.87932    -0.828981
      12       4    -0.655055    -0.252972
      12       5     -1.65476      1.34466
      12       6    -0.680525      1.66350
      12       7      1.86601      2.33193
      12       8   0.00238517      1.47089
      12       9      3.93443     -2.50258
      12      10     -1.09438     -2.30130
      12      11      3.66767     -2.08476
      12      12     -3.10756    -0.566877
      13       0    -0.955331      0.00000
      13       1    -0.592849      1.45331
      13       2    -0.219121      1.20751
      13       3     -1.07250      2.14414
      13       4    -0.534298      1.82720
      13       5    -0.272845     0.995775
      13       6     0.924807    -0.297645
      13       7    0.0196492     0.321376
      13       8      1.85996     -1.86738
      13       9     0.350021     0.666180
      13      10     -1.37228     -1.58319
      13      11     -2.55823     0.853488
      13      12      1.28572    -0.720842
      13      13     0.143321      1.67420
      14       0     0.368679      0.00000
      14       1     0.125832     0.351693
      14       2     0.808894     0.874755
      14       3      1.59627      1.00267
      14       4     0.657602    -0.722625
      14       5      2.35316     0.244569
      14       6      1.93434     -2.07857
      14       7     -1.43731     -1.93960
      14       8     0.704769     -1.64244
      14       9     -2.63979     -1.01806
      14      10    0.0365734   -0.0989709
      14      11     -2.01825      1.26851
      14      12    -0.303857      1.23544
      14      13      5.40235    -0.583998
      14      14      1.36610      2.14507
      15       0     0.768795      0.00000
      15       1      1.15546    -0.461712
      15       2     0.362074     -1.49468
      15       3     0.706568     -1.49410
      15       4      1.70263     -1.96790
      15       5    -0.300746     -1.50644
      15       6     0.550510    -0.527387
      15       7    -0.680558    -0.441820
      15       8     -2.33340      1.25161
      15       9    -0.289749    -0.850368
      15      10    -0.390505    -0.812799
      15      11      2.24745      1.00971
      15      12     0.642802     0.151888
      15      13     -2.75674     0.571432
      15      14   -0.0988954     -6.51115
      15      15     -1.91017    -0.490455
      16       0    -0.243684      0.00000
      16       1     -1.23989    -0.683563
      16       2    0.0176430     -1.09031
      16       3     -1.60062     -1.22720
      16       4     -2.05420     0.848933
      16       5    -0.887350     -1.33922
      16       6     -2.58191      1.04786
      16       7     0.548907     0.721389
      16       8   0.00969008      2.49140
      16       9    -0.321823      3.19715
      16      10     0.375071      1.33909
      16      11     -1.00112     -1.20586
      16      12      1.43716    -0.550746
      16      13     -1.46309     -1.79560
      16      14     -2.32251      3.47371
      16      15     -4.73357     -2.54995
      16      16      1.92067   -0.0555302
      17       0     -1.07633      0.00000
      17       1    -0.827218     0.529327
      17       2    -0.350097      1.44928
      17       3    -0.761240      1.28519
      17       4     -1.87202     0.705478
      17       5    0.0623927      3.29633
      17       6    -0.646612     0.342931
      17       7     0.595451      1.45089
      17       8      3.01307   0.00272556
      17       9     0.728724     0.306371
      17      10      1.31622      2.07192
      17      11    -0.720469    -0.636588
      17      12     -2.10007    -0.244169
      17      13      1.24738    -0.377821
      17      14    -0.510837     0.782439
      17      15      2.13408      3.07236
      17      16     -4.01760     -1.76934
      17      17      2.30581    0.0349178
      18       0     0.205297      0.00000
      18       1     0.145416     0.834688
      18       2     0.453948     0.623655
      18       3     0.769590      1.01627
      18       4      2.23502    -0.577209
      18       5     0.888134      1.93463
      18       6      3.06060    -0.763215
      18       7     0.511952    0.0388413
      18       8     0.484900     -2.77648
      18       9     0.920812     -2.17037
      18      10    -0.197015     -3.69446
      18      11      2.17638      1.28768
      18      12     -1.18420    0.0276766
      18      13    -0.830455      3.06701
      18      14      1.38089     -1.56815
      18      15     0.604082     -1.11429
      18      16      3.86567   -0.0436768
      18      17     -4.72268     -1.72649
      18      18      1.60814     0.488245
      19       0      1.22288      0.00000
      19       1     0.476645    0.0790072
      19       2     0.993832    -0.430971
      19       3     0.277712     -1.08942
      19       4      1.29289    -0.173687
      19       5     0.703051     -2.69903
      19       6     0.276800    -0.706512
      19       7    -0.218875     -1.33202
      19       8    -0.602294    -0.581447
      19       9     -1.24437      1.04216
      19      10     -1.71298     -2.06017
      19      11     -2.04974     0.904237
      19      12      2.03774     0.435234
      19      13     0.129310    -0.262885
      19      14     0.368043      3.32533
      19      15     0.232460     -1.82484
      19      16     -1.03616    -0.850958
      19      17      2.28784     -1.01673
      19      18     -3.95431      5.93616
      19      19     -1.34649     -1.73872
      20       0     0.391142      0.00000
      20       1    -0.320076    -0.684880
      20       2     0.483440     0.718255
      20       3    -0.461424     -1.30962
      20       4     -1.89602    -0.695809
      20       5    -0.306488     -1.35230
      20       6     -2.52323     0.104958
      20       7     -1.93199    -0.586906
      20       8    -0.633138      1.48241
      20       9     -3.02745      1.31041
