Volume averages, fluxes, etc
it year mo dy hr mn sc msc dt rho mx my mz p bx by bz pmin pmax dst_sm dstflx_R=3.0
      10 2014 04 10 00 02 00 000  0.00000E+000  1.22240E+001 -2.61793E-014 -5.97411E-016  8.74606E-016  5.93214E-001  3.32607E+000 -1.42371E+000 -4.83372E+000  1.10969E-001  2.05749E+001  6.44918E-001 -1.30753E+001
      24 2014 04 10 00 02 05 267  3.76217E-001  1.22241E+001 -2.61785E-014 -5.97360E-016  8.74517E-016  5.93414E-001  3.32561E+000 -1.42243E+000 -4.83395E+000  1.10426E-001  2.05881E+001  5.60278E-001 -1.31287E+001
      37 2014 04 10 00 02 10 157  3.76207E-001  1.22240E+001 -2.61778E-014 -5.97313E-016  8.74433E-016  5.93598E-001  3.32518E+000 -1.42124E+000 -4.83417E+000  1.09950E-001  2.05526E+001  4.83315E-001 -1.31773E+001
      50 2014 04 10 00 02 15 048  3.76180E-001  1.22241E+001 -2.61771E-014 -5.97268E-016  8.74354E-016  5.93788E-001  3.32474E+000 -1.42004E+000 -4.83438E+000  1.09510E-001  2.05096E+001  4.07493E-001 -1.32249E+001
      64 2014 04 10 00 02 20 314  3.76166E-001  1.22241E+001 -2.61764E-014 -5.97220E-016  8.74268E-016  5.93990E-001  3.32428E+000 -1.41876E+000 -4.83462E+000  1.09012E-001  2.04702E+001  3.26743E-001 -1.32753E+001
      77 2014 04 10 00 02 25 204  3.76158E-001  1.22241E+001 -2.61757E-014 -5.97178E-016  8.74191E-016  5.94181E-001  3.32384E+000 -1.41756E+000 -4.83483E+000  1.08574E-001  2.04576E+001  2.53308E-001 -1.33210E+001
      90 2014 04 10 00 02 30 094  3.76146E-001  1.22242E+001 -2.61750E-014 -5.97136E-016  8.74113E-016  5.94370E-001  3.32341E+000 -1.41637E+000 -4.83505E+000  1.08157E-001  2.04553E+001  1.83705E-001 -1.33639E+001
     104 2014 04 10 00 02 35 360  3.76124E-001  1.22243E+001 -2.61744E-014 -5.97102E-016  8.74033E-016  5.94588E-001  3.32294E+000 -1.41508E+000 -4.83529E+000  1.07598E-001  2.04540E+001  1.14472E-001 -1.34057E+001
     117 2014 04 10 00 02 40 249  3.76114E-001  1.22243E+001 -2.61737E-014 -5.97068E-016  8.73957E-016  5.94787E-001  3.32250E+000 -1.41389E+000 -4.83551E+000  1.07077E-001  2.04542E+001  5.59571E-002 -1.34404E+001
     130 2014 04 10 00 02 45 139  3.76139E-001  1.22244E+001 -2.61731E-014 -5.97031E-016  8.73875E-016  5.94970E-001  3.32207E+000 -1.41269E+000 -4.83573E+000  1.06596E-001  2.04926E+001 -7.30743E-005 -1.34725E+001
     143 2014 04 10 00 02 50 029  3.76185E-001  1.22244E+001 -2.61724E-014 -5.96993E-016  8.73794E-016  5.95152E-001  3.32163E+000 -1.41150E+000 -4.83595E+000  1.06156E-001  2.05309E+001 -5.12428E-002 -1.35014E+001
     157 2014 04 10 00 02 55 296  3.76230E-001  1.22245E+001 -2.61717E-014 -5.96954E-016  8.73713E-016  5.95353E-001  3.32117E+000 -1.41021E+000 -4.83619E+000  1.05683E-001  2.05503E+001 -1.02690E-001 -1.35302E+001
     170 2014 04 10 00 03 00 000  1.88695E-001  1.22245E+001 -2.61711E-014 -5.96919E-016  8.73639E-016  5.95532E-001  3.32076E+000 -1.40906E+000 -4.83641E+000  1.05309E-001  2.05516E+001 -1.49464E-001 -1.35570E+001
