Volume averages, fluxes, etc
it year mo dy hr mn sc msc dt rho mx my mz p bx by bz pmin pmax dst_sm dstflx_R=3.0
      10 2014 04 10 00 02 00 000  0.00000E+000  1.22134E+001 -2.61679E-014 -5.97365E-016  8.74263E-016  5.90723E-001  3.31985E+000 -1.42317E+000 -4.82828E+000  1.21194E-001  1.88282E+001  3.29144E-001 -1.37533E+001
      25 2014 04 10 00 02 05 149  3.43334E-001  1.22133E+001 -2.61673E-014 -5.97325E-016  8.74177E-016  5.90925E-001  3.31938E+000 -1.42191E+000 -4.82852E+000  1.20874E-001  1.88226E+001  2.40394E-001 -1.37861E+001
      40 2014 04 10 00 02 10 300  3.43390E-001  1.22132E+001 -2.61666E-014 -5.97284E-016  8.74091E-016  5.91126E-001  3.31892E+000 -1.42065E+000 -4.82876E+000  1.20559E-001  1.88233E+001  1.56621E-001 -1.38169E+001
      54 2014 04 10 00 02 15 107  3.43445E-001  1.22131E+001 -2.61660E-014 -5.97246E-016  8.74011E-016  5.91317E-001  3.31849E+000 -1.41947E+000 -4.82899E+000  1.20277E-001  1.88191E+001  8.29769E-002 -1.38438E+001
      69 2014 04 10 00 02 20 260  3.43510E-001  1.22130E+001 -2.61653E-014 -5.97205E-016  8.73925E-016  5.91521E-001  3.31803E+000 -1.41821E+000 -4.82923E+000  1.19937E-001  1.88202E+001  8.96113E-003 -1.38711E+001
      83 2014 04 10 00 02 25 069  3.43574E-001  1.22129E+001 -2.61647E-014 -5.97166E-016  8.73845E-016  5.91717E-001  3.31760E+000 -1.41704E+000 -4.82945E+000  1.19584E-001  1.88138E+001 -5.69734E-002 -1.38962E+001
      98 2014 04 10 00 02 30 223  3.43649E-001  1.22128E+001 -2.61640E-014 -5.97125E-016  8.73760E-016  5.91925E-001  3.31714E+000 -1.41578E+000 -4.82969E+000  1.19212E-001  1.88132E+001 -1.24951E-001 -1.39230E+001
     112 2014 04 10 00 02 35 035  3.43724E-001  1.22127E+001 -2.61634E-014 -5.97086E-016  8.73680E-016  5.92131E-001  3.31670E+000 -1.41461E+000 -4.82992E+000  1.18905E-001  1.88041E+001 -1.85505E-001 -1.39473E+001
     127 2014 04 10 00 02 40 192  3.43810E-001  1.22126E+001 -2.61627E-014 -5.97044E-016  8.73595E-016  5.92350E-001  3.31624E+000 -1.41335E+000 -4.83016E+000  1.18595E-001  1.88012E+001 -2.45922E-001 -1.39712E+001
     141 2014 04 10 00 02 45 006  3.43896E-001  1.22125E+001 -2.61621E-014 -5.97005E-016  8.73516E-016  5.92552E-001  3.31581E+000 -1.41218E+000 -4.83039E+000  1.18324E-001  1.87889E+001 -2.96748E-001 -1.39905E+001
     156 2014 04 10 00 02 50 165  3.43994E-001  1.22124E+001 -2.61614E-014 -5.96962E-016  8.73431E-016  5.92768E-001  3.31534E+000 -1.41092E+000 -4.83063E+000  1.18060E-001  1.87839E+001 -3.44671E-001 -1.40072E+001
     171 2014 04 10 00 02 55 326  3.44100E-001  1.22123E+001 -2.61606E-014 -5.96920E-016  8.73346E-016  5.92981E-001  3.31488E+000 -1.40966E+000 -4.83088E+000  1.17807E-001  1.87688E+001 -3.85175E-001 -1.40198E+001
     185 2014 04 10 00 03 00 000  1.99916E-001  1.22122E+001 -2.61600E-014 -5.96881E-016  8.73269E-016  5.93175E-001  3.31447E+000 -1.40852E+000 -4.83110E+000  1.17597E-001  1.87633E+001 -4.15065E-001 -1.40272E+001
