Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  0.0000000000E+00 -8.5000000000E+01 -1.0327670971E+00  4.8344304243E+01  2.3167858173E+01  2.3118056259E+00  7.5252138486E+00 -1.4655722590E+01  1.8590895053E+01  1.4196521454E+01  3.4572872563E+00 -1.5054460153E+01  3.2398770005E+01  3.2656393487E+01 -6.8810076232E+00 -5.7762010652E+00  1.7099000203E+00  1.3386074003E+02 -7.7808450867E+01
  5.0000000000E+00 -8.5000000000E+01 -4.7398575146E-01  4.9109800144E+01  2.1924734820E+01  2.5743781361E+00  7.4151049139E+00 -1.4679465588E+01  1.8952788182E+01  1.4121746464E+01  3.4326077871E+00 -1.4773643474E+01  3.3330982038E+01  3.1453423306E+01 -7.2275085960E+00 -5.7580332712E+00  1.7181693157E+00  1.3515922873E+02 -7.8150017808E+01
  1.0000000000E+01 -8.5000000000E+01  1.2908972243E-01  4.9801049914E+01  2.0726093898E+01  2.8309550380E+00  7.3090115679E+00 -1.4696965953E+01  1.9291178840E+01  1.4066168369E+01  3.3946790501E+00 -1.4492419600E+01  3.4153615789E+01  3.0294380562E+01 -7.5006245555E+00 -5.7277458114E+00  1.7340002393E+00  1.3638290193E+02 -7.8508524890E+01
  1.5000000000E+01 -8.5000000000E+01  7.7172271850E-01  5.0410708414E+01  1.9581043693E+01  3.0801154894E+00  7.2085912143E+00 -1.4708050307E+01  1.9604633038E+01  1.4031807128E+01  3.3436559515E+00 -1.4219423140E+01  3.4856839591E+01  2.9188769858E+01 -7.6936026689E+00 -5.6865295193E+00  1.7566681912E+00  1.3752091339E+02 -7.8882739432E+01
  2.0000000000E+01 -8.5000000000E+01  1.4454817752E+00  5.0943246450E+01  1.8529359125E+01  3.3202247374E+00  7.1157504430E+00 -1.4712594796E+01  1.9891105647E+01  1.4021526469E+01  3.2797340374E+00 -1.3959751774E+01  3.5438965015E+01  2.8162809643E+01 -7.8060968351E+00 -5.6329954762E+00  1.7994102404E+00  1.3856065695E+02 -7.9271300492E+01
  2.5000000000E+01 -8.5000000000E+01  2.1064955834E+00  5.1417036289E+01  1.7622843038E+01  3.5493852232E+00  7.0326828843E+00 -1.4710519992E+01  2.0147831449E+01  1.4039218665E+01  3.2031581270E+00 -1.3735619105E+01  3.5921822806E+01  2.7248939833E+01 -7.8551019833E+00 -5.5766880660E+00  1.8812650701E+00  1.3948740193E+02 -7.9672699779E+01
  3.0000000000E+01 -8.5000000000E+01  2.6743814134E+00  5.1861841359E+01  1.6874322620E+01  3.7653681021E+00  6.9619107436E+00 -1.4701797506E+01  2.0371174446E+01  1.4089997582E+01  3.1142312690E+00 -1.3589107177E+01  3.6349554385E+01  2.6454770447E+01 -7.8730539584E+00 -5.5396213514E+00  2.0071184099E+00  1.4028385274E+02 -8.0085256988E+01
  3.5000000000E+01 -8.5000000000E+01  3.0903783614E+00  5.2303698493E+01  1.6226953604E+01  3.9655221709E+00  6.9063295997E+00 -1.4686449833E+01  2.0556418595E+01  1.4180396766E+01  3.0133235401E+00 -1.3551356402E+01  3.6752574602E+01  2.5747559995E+01 -7.8802060018E+00 -5.5356024749E+00  2.1525199022E+00  1.4092962130E+02 -8.0507087958E+01
  4.0000000000E+01 -8.5000000000E+01  3.3698385405E+00  5.2748071526E+01  1.5620172871E+01  4.1466551733E+00  6.8692488956E+00 -1.4664552729E+01  2.0697480474E+01  1.4318563622E+01  2.9008804361E+00 -1.3614289789E+01  3.7111580851E+01  2.5090301120E+01 -7.8600073173E+00 -5.5513218418E+00  2.2935440437E+00  1.4140060446E+02 -8.0936063571E+01
  4.5000000000E+01 -8.5000000000E+01  3.5596495210E+00  5.3196994933E+01  1.5045472024E+01  4.3048767681E+00  6.8544221272E+00 -1.4636233360E+01  2.0786518415E+01  1.4514427805E+01  2.7774304636E+00 -1.3748303087E+01  3.7386927775E+01  2.4473841062E+01 -7.7834425745E+00 -5.5587827738E+00  2.4304338587E+00  1.4166826816E+02 -8.1369756871E+01
