Ridley Ionosphere Model, [deg] and [kV]
t yy mm dd hh mm ss ms tilt cpcpn cpcps
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  0.00000E+00  0.00000E+00
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  3.23763E+01  3.30562E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  8.96278E+00  1.15176E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  2.36795E+01  2.85792E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  3.07273E+01  3.99887E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  3.38237E+01  4.39496E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  3.53072E+01  4.57158E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  3.60560E+01  4.66124E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  3.60560E+01  4.66124E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.05846E+01  5.21597E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.36152E+01  5.62969E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.58268E+01  5.87559E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.73782E+01  6.04065E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.84370E+01  6.16076E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.91641E+01  6.24638E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.96106E+01  6.30535E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.98592E+01  6.34121E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.99497E+01  6.36300E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.99555E+01  6.36569E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.99123E+01  6.36093E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.98070E+01  6.34999E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.96624E+01  6.33420E+01
  0.00000E+00 2014  4 10  0  0  0   0   -4.59  4.96624E+01  6.33420E+01
  5.00000E+00 2014  4 10  0  0  5   0   -4.59  4.96857E+01  6.31961E+01
  1.00000E+01 2014  4 10  0  0 10   0   -4.59  4.95745E+01  6.29978E+01
  1.50000E+01 2014  4 10  0  0 15   0   -4.58  4.94590E+01  6.28167E+01
  2.00000E+01 2014  4 10  0  0 20   0   -4.58  4.93376E+01  6.26531E+01
  2.50000E+01 2014  4 10  0  0 25   0   -4.58  4.92112E+01  6.24729E+01
  3.00000E+01 2014  4 10  0  0 30   0   -4.57  4.90849E+01  6.22746E+01
  3.50000E+01 2014  4 10  0  0 35   0   -4.57  4.89694E+01  6.20547E+01
  4.00000E+01 2014  4 10  0  0 40   0   -4.57  4.88604E+01  6.18192E+01
  4.50000E+01 2014  4 10  0  0 45   0   -4.56  4.87643E+01  6.15838E+01
  5.00000E+01 2014  4 10  0  0 50   0   -4.56  4.86714E+01  6.13492E+01
  5.50000E+01 2014  4 10  0  0 55   0   -4.56  4.85833E+01  6.11336E+01
  6.00000E+01 2014  4 10  0  1  0   0   -4.55  4.85202E+01  6.09240E+01
  6.50000E+01 2014  4 10  0  1  5   0   -4.55  4.84706E+01  6.07376E+01
  7.00000E+01 2014  4 10  0  1 10   0   -4.55  4.84319E+01  6.05840E+01
  7.50000E+01 2014  4 10  0  1 15   0   -4.54  4.84157E+01  6.04495E+01
  8.00000E+01 2014  4 10  0  1 20   0   -4.54  4.83975E+01  6.03476E+01
  8.50000E+01 2014  4 10  0  1 25   0   -4.54  4.84005E+01  6.02672E+01
  9.00000E+01 2014  4 10  0  1 30   0   -4.53  4.84084E+01  6.02116E+01
  9.50000E+01 2014  4 10  0  1 35   0   -4.53  4.84268E+01  6.01723E+01
  1.00000E+02 2014  4 10  0  1 40   0   -4.53  4.84534E+01  6.01532E+01
  1.05000E+02 2014  4 10  0  1 45   0   -4.52  4.84916E+01  6.01565E+01
  1.10000E+02 2014  4 10  0  1 50   0   -4.52  4.85343E+01  6.01727E+01
  1.15000E+02 2014  4 10  0  1 55   0   -4.52  4.85793E+01  6.02053E+01
