Ridley Ionosphere Model, tilt [deg] CPCP [kV]Integrated Current [MA] and Hemispheric Power [GW]
# iru and ird: integrated upward and downward FACs. hpow vars: hemispheric power for total aurora and each subcomponent
t year mo dy hr mn sc msc tilt n_cpcp s_cpcp n_iru s_iru n_ird s_ird n_hpow s_hpow n_hpow_diffe s_hpow_diffe n_hpow_mono s_hpow_mono n_hpow_bbnd s_hpow_bbnd n_hpow_diffi s_hpow_diffi
  0.00000E+00 2014  4 10  0  2  0   0   -4.86721  2.35235E+01  2.31945E+01  9.31814E-01  8.80543E-01 -9.46816E-01 -8.70746E-01  5.29477E+02  5.27376E+02  4.49238E+02  4.52548E+02 -5.76756E-16  1.13627E-16  5.93069E+01  5.36630E+01  2.09318E+01  2.11652E+01
  5.00000E+00 2014  4 10  0  2  5   0   -4.86388  2.36276E+01  2.33388E+01  9.31040E-01  8.79687E-01 -9.46173E-01 -8.69761E-01  5.26200E+02  5.23910E+02  4.46014E+02  4.49142E+02  6.06865E-16  1.88245E-16  5.92673E+01  5.36184E+01  2.09188E+01  2.11496E+01
  1.00000E+01 2014  4 10  0  2 10   0   -4.86056  2.36945E+01  2.34070E+01  9.30310E-01  8.78959E-01 -9.45613E-01 -8.68899E-01  5.24113E+02  5.21684E+02  4.43968E+02  4.46958E+02  3.92696E-17  4.36362E-16  5.92315E+01  5.35855E+01  2.09135E+01  2.11408E+01
  1.50000E+01 2014  4 10  0  2 15   0   -4.85724  2.37980E+01  2.35051E+01  9.29598E-01  8.78333E-01 -9.45111E-01 -8.68132E-01  5.21104E+02  5.18580E+02  4.41006E+02  4.43894E+02 -8.99425E-17  2.50310E-16  5.91972E+01  5.35576E+01  2.09001E+01  2.11278E+01
  2.00000E+01 2014  4 10  0  2 20   0   -4.85392  2.38691E+01  2.35787E+01  9.28913E-01  8.77803E-01 -9.44656E-01 -8.67523E-01  5.19088E+02  5.16421E+02  4.39025E+02  4.41764E+02 -2.08570E-16 -1.30460E-16  5.91662E+01  5.35371E+01  2.08960E+01  2.11200E+01
  2.50000E+01 2014  4 10  0  2 25   0   -4.85060  2.39687E+01  2.36866E+01  9.28259E-01  8.77407E-01 -9.44269E-01 -8.67007E-01  5.16243E+02  5.13275E+02  4.36217E+02  4.38649E+02 -1.04927E-15  2.41393E-16  5.91376E+01  5.35230E+01  2.08879E+01  2.11034E+01
  3.00000E+01 2014  4 10  0  2 30   0   -4.84728  2.40412E+01  2.37765E+01  9.27668E-01  8.77136E-01 -9.43958E-01 -8.66565E-01  5.14243E+02  5.11126E+02  4.34249E+02  4.36518E+02 -2.74454E-17  9.94255E-17  5.91104E+01  5.35121E+01  2.08845E+01  2.10956E+01
  3.50000E+01 2014  4 10  0  2 35   0   -4.84395  2.41433E+01  2.38967E+01  9.27170E-01  8.77022E-01 -9.43724E-01 -8.66276E-01  5.11184E+02  5.08047E+02  4.31239E+02  4.33476E+02 -8.20819E-16  3.74857E-16  5.90851E+01  5.34977E+01  2.08601E+01  2.10729E+01
  4.00000E+01 2014  4 10  0  2 40   0   -4.84063  2.42200E+01  2.39962E+01  9.26741E-01  8.76975E-01 -9.43525E-01 -8.66080E-01  5.09082E+02  5.05727E+02  4.29175E+02  4.31194E+02 -2.90050E-16  4.97804E-16  5.90597E+01  5.34809E+01  2.08469E+01  2.10518E+01
  4.50000E+01 2014  4 10  0  2 45   0   -4.83731  2.43332E+01  2.41252E+01  9.26355E-01  8.76950E-01 -9.43356E-01 -8.65874E-01  5.06121E+02  5.02646E+02  4.26259E+02  4.28147E+02  3.88201E-16 -3.35609E-17  5.90334E+01  5.34664E+01  2.08291E+01  2.10324E+01
  5.00000E+01 2014  4 10  0  2 50   0   -4.83400  2.44126E+01  2.42090E+01  9.25999E-01  8.76939E-01 -9.43210E-01 -8.65690E-01  5.04048E+02  5.00527E+02  4.24221E+02  4.26052E+02 -9.48254E-16  1.06410E-16  5.90077E+01  5.34531E+01  2.08192E+01  2.10225E+01
  5.50000E+01 2014  4 10  0  2 55   0   -4.83068  2.45212E+01  2.43235E+01  9.25677E-01  8.76947E-01 -9.43089E-01 -8.65547E-01  5.01246E+02  4.97615E+02  4.21455E+02  4.23163E+02 -2.22279E-16 -5.29948E-16  5.89831E+01  5.34420E+01  2.08075E+01  2.10098E+01
