Volume averages, fluxes, etc
it year mo dy hr mn sc msc dt rho mx my mz p bx by bz pmin pmax dst_sm dstflx_R=3.0
      10 2014 04 10 00 02 00 000  0.00000E+000  1.22248E+001 -2.61769E-014 -5.97372E-016  8.74758E-016  5.85727E-001  3.32748E+000 -1.42387E+000 -4.83400E+000  8.89588E-002  1.56318E+001  6.08285E-001 -1.27020E+001
      23 2014 04 10 00 02 05 247  4.03616E-001  1.22249E+001 -2.61763E-014 -5.97327E-016  8.74668E-016  5.85879E-001  3.32700E+000 -1.42259E+000 -4.83412E+000  8.86122E-002  1.56371E+001  5.25291E-001 -1.27573E+001
      35 2014 04 10 00 02 10 090  4.03571E-001  1.22250E+001 -2.61757E-014 -5.97285E-016  8.74585E-016  5.86018E-001  3.32656E+000 -1.42141E+000 -4.83423E+000  8.82845E-002  1.56357E+001  4.49275E-001 -1.28076E+001
      48 2014 04 10 00 02 15 335  4.03506E-001  1.22252E+001 -2.61751E-014 -5.97240E-016  8.74495E-016  5.86173E-001  3.32609E+000 -1.42013E+000 -4.83436E+000  8.79716E-002  1.56310E+001  3.68137E-001 -1.28604E+001
      60 2014 04 10 00 02 20 177  4.03461E-001  1.22253E+001 -2.61746E-014 -5.97199E-016  8.74412E-016  5.86314E-001  3.32565E+000 -1.41894E+000 -4.83447E+000  8.76585E-002  1.56256E+001  2.96323E-001 -1.29063E+001
      72 2014 04 10 00 02 25 018  4.03432E-001  1.22254E+001 -2.61741E-014 -5.97155E-016  8.74335E-016  5.86463E-001  3.32521E+000 -1.41776E+000 -4.83459E+000  8.73824E-002  1.56329E+001  2.28402E-001 -1.29486E+001
      85 2014 04 10 00 02 30 263  4.03413E-001  1.22256E+001 -2.61735E-014 -5.97108E-016  8.74250E-016  5.86621E-001  3.32474E+000 -1.41648E+000 -4.83471E+000  8.70932E-002  1.57467E+001  1.60351E-001 -1.29901E+001
      97 2014 04 10 00 02 35 103  4.03395E-001  1.22258E+001 -2.61731E-014 -5.97071E-016  8.74179E-016  5.86773E-001  3.32430E+000 -1.41530E+000 -4.83483E+000  8.68372E-002  1.57714E+001  1.01740E-001 -1.30252E+001
     110 2014 04 10 00 02 40 347  4.03376E-001  1.22260E+001 -2.61725E-014 -5.97030E-016  8.74101E-016  5.86935E-001  3.32383E+000 -1.41401E+000 -4.83496E+000  8.66046E-002  1.57435E+001  4.16198E-002 -1.30603E+001
     122 2014 04 10 00 02 45 188  4.03359E-001  1.22262E+001 -2.61721E-014 -5.97002E-016  8.74033E-016  5.87090E-001  3.32339E+000 -1.41283E+000 -4.83508E+000  8.63771E-002  1.57092E+001 -1.25139E-002 -1.30918E+001
     134 2014 04 10 00 02 50 028  4.03340E-001  1.22264E+001 -2.61717E-014 -5.96972E-016  8.73963E-016  5.87241E-001  3.32295E+000 -1.41165E+000 -4.83520E+000  8.61947E-002  1.56980E+001 -6.54964E-002 -1.31225E+001
     147 2014 04 10 00 02 55 271  4.03328E-001  1.22266E+001 -2.61712E-014 -5.96951E-016  8.73885E-016  5.87411E-001  3.32248E+000 -1.41036E+000 -4.83533E+000  8.60149E-002  1.56957E+001 -1.21591E-001 -1.31555E+001
     159 2014 04 10 00 03 00 000  2.91990E-001  1.22269E+001 -2.61708E-014 -5.96928E-016  8.73814E-016  5.87561E-001  3.32206E+000 -1.40921E+000 -4.83545E+000  8.58655E-002  1.56948E+001 -1.71232E-001 -1.31851E+001
