Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  0.0000000000E+00 -8.5000000000E+01 -6.4276307503E-01  4.8161514795E+01  2.2421296186E+01  2.2526641274E+00  7.4320102211E+00 -1.4973242608E+01  1.8552409070E+01  1.4094012522E+01  3.4549970404E+00 -1.4708067194E+01  3.2244430686E+01  3.2199535385E+01 -6.7397690785E+00 -5.6089386337E+00  1.7400063679E+00  1.3386074003E+02 -7.7808450867E+01
  5.0000000000E+00 -8.5000000000E+01 -8.3483446775E-02  4.8901888466E+01  2.1209016577E+01  2.5153682923E+00  7.3218773001E+00 -1.4996967546E+01  1.8904232398E+01  1.4009179505E+01  3.4289181527E+00 -1.4422650760E+01  3.3160855234E+01  3.1021515402E+01 -7.0804333768E+00 -5.5900235735E+00  1.7555505686E+00  1.3515922873E+02 -7.8150017808E+01
  1.0000000000E+01 -8.5000000000E+01  5.1619241392E-01  4.9569486034E+01  2.0040224363E+01  2.7723222559E+00  7.2158086024E+00 -1.5014390654E+01  1.9232948967E+01  1.3944012525E+01  3.3897351467E+00 -1.4139473200E+01  3.3970186090E+01  2.9886880518E+01 -7.3496056090E+00 -5.5605211837E+00  1.7779993517E+00  1.3638290193E+02 -7.8508524890E+01
  1.5000000000E+01 -8.5000000000E+01  1.1515608221E+00  5.0157722951E+01  1.8923258853E+01  3.0221119927E+00  7.1154538313E+00 -1.5025338190E+01  1.9537209440E+01  1.3900576896E+01  3.3376154470E+00 -1.3866942089E+01  3.4663175913E+01  2.8804493492E+01 -7.5408185222E+00 -5.5214836900E+00  1.8064881050E+00  1.3752091339E+02 -7.8882739432E+01
  2.0000000000E+01 -8.5000000000E+01  1.8150180176E+00  5.0671656107E+01  1.7896478045E+01  3.2631108667E+00  7.0227116050E+00 -1.5029686516E+01  1.9815053238E+01  1.3881766412E+01  3.2727643436E+00 -1.3609400547E+01  3.5238312226E+01  2.7799515476E+01 -7.6537455395E+00 -5.4711341364E+00  1.8538847417E+00  1.3856065695E+02 -7.9271300492E+01
  2.5000000000E+01 -8.5000000000E+01  2.4647937911E+00  5.1129622842E+01  1.7010198203E+01  3.4934313073E+00  6.9397674335E+00 -1.5027357030E+01  2.0063801715E+01  1.3891486799E+01  3.1954336919E+00 -1.3387618010E+01  3.5716607198E+01  2.6903335851E+01 -7.7048212205E+00 -5.4182385878E+00  1.9387856902E+00  1.3948740193E+02 -7.9672699779E+01
  3.0000000000E+01 -8.5000000000E+01  3.0236138810E+00  5.1560564987E+01  1.6276949879E+01  3.7108570133E+00  6.8691354424E+00 -1.5018322792E+01  2.0279909663E+01  1.3934847233E+01  3.1059309277E+00 -1.3241791401E+01  3.6140336550E+01  2.6123371872E+01 -7.7253613943E+00 -5.3837542382E+00  2.0659698705E+00  1.4028385274E+02 -8.0085256988E+01
  3.5000000000E+01 -8.5000000000E+01  3.4352107755E+00  5.1989316460E+01  1.5641712831E+01  3.9127526821E+00  6.8137034770E+00 -1.5002608383E+01  2.0458758426E+01  1.4018357041E+01  3.0046279160E+00 -1.3201669236E+01  3.6538014878E+01  2.5428129398E+01 -7.7346310965E+00 -5.3807589359E+00  2.2115639004E+00  1.4092962130E+02 -8.0507087958E+01
  4.0000000000E+01 -8.5000000000E+01  3.7153453077E+00  5.2420441326E+01  1.5046524498E+01  4.0959462392E+00  6.7767740827E+00 -1.4980292275E+01  2.0594371387E+01  1.4150118985E+01  2.8919694131E+00 -1.3259024853E+01  3.6889606574E+01  2.4782567715E+01 -7.7159474648E+00 -5.3960583152E+00  2.3522796451E+00  1.4140060446E+02 -8.0936063571E+01
  4.5000000000E+01 -8.5000000000E+01  3.9098220462E+00  5.2855323743E+01  1.4485376619E+01  4.2565728329E+00  6.7620954713E+00 -1.4951504960E+01  2.0679026645E+01  1.4339997781E+01  2.7684807537E+00 -1.3385169810E+01  3.7155619462E+01  2.4179862700E+01 -7.6406076216E+00 -5.4023889715E+00  2.4885381248E+00  1.4166826816E+02 -8.1369756871E+01
