Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  0.0000000000E+00 -8.5000000000E+01 -1.2293126293E+00  4.7067856134E+01  2.1675676753E+01  1.9525413979E+00  7.3195441429E+00 -1.5534252271E+01  1.8144520722E+01  1.3894979543E+01  3.3696366134E+00 -1.4726563768E+01  3.1483142604E+01  3.2093682637E+01 -6.5998109808E+00 -5.6298101564E+00  1.7466097740E+00  1.3386074003E+02 -7.7808450867E+01
  5.0000000000E+00 -8.5000000000E+01 -6.9145087380E-01  4.7828500333E+01  2.0477238004E+01  2.2157776450E+00  7.2130413838E+00 -1.5558988298E+01  1.8498388771E+01  1.3821395544E+01  3.3457860416E+00 -1.4458621325E+01  3.2408901761E+01  3.0929209929E+01 -6.9469959643E+00 -5.6148383556E+00  1.7612303326E+00  1.3515922873E+02 -7.8150017808E+01
  1.0000000000E+01 -8.5000000000E+01 -1.1121388937E-01  4.8518119161E+01  1.9318829718E+01  2.4736051800E+00  7.1104229086E+00 -1.5577610774E+01  1.8829350971E+01  1.3766532339E+01  3.3090085425E+00 -1.4190524693E+01  3.3229360539E+01  2.9805201292E+01 -7.2236453476E+00 -5.5881966262E+00  1.7822306582E+00  1.3638290193E+02 -7.8508524890E+01
  1.5000000000E+01 -8.5000000000E+01  5.0723343051E-01  4.9129539908E+01  1.8208953804E+01  2.7246102262E+00  7.0132959989E+00 -1.5589938077E+01  1.9136004749E+01  1.3732368118E+01  3.2594530126E+00 -1.3930376539E+01  3.3934738726E+01  2.8730628019E+01 -7.4230050052E+00 -5.5508629348E+00  1.8088108492E+00  1.3752091339E+02 -7.8882739432E+01
  2.0000000000E+01 -8.5000000000E+01  1.1566504814E+00  4.9666765991E+01  1.7185931262E+01  2.9671670673E+00  6.9235100729E+00 -1.5595837217E+01  1.9416347716E+01  1.3721703603E+01  3.1973077519E+00 -1.3682558604E+01  3.4522743229E+01  2.7730739637E+01 -7.5443056980E+00 -5.5011909135E+00  1.8537210906E+00  1.3856065695E+02 -7.9271300492E+01
  2.5000000000E+01 -8.5000000000E+01  1.7957991301E+00  5.0146782745E+01  1.6300147949E+01  3.1993901346E+00  6.8431934292E+00 -1.5595218814E+01  1.9667671177E+01  1.3738342996E+01  3.1228089704E+00 -1.3467914486E+01  3.5013336789E+01  2.6837107142E+01 -7.6033476960E+00 -5.4480904692E+00  1.9354506506E+00  1.3948740193E+02 -7.9672699779E+01
  3.0000000000E+01 -8.5000000000E+01  2.3479681840E+00  5.0597178162E+01  1.5564858497E+01  3.4190668554E+00  6.7747935365E+00 -1.5588043768E+01  1.9886412952E+01  1.3787283128E+01  3.0362496221E+00 -1.3326703202E+01  3.5447753782E+01  2.6057710394E+01 -7.6308084217E+00 -5.4126522846E+00  2.0589422489E+00  1.4028385274E+02 -8.0085256988E+01
  3.5000000000E+01 -8.5000000000E+01  2.7568434014E+00  5.1041852798E+01  1.4926409907E+01  3.6235683740E+00  6.7211204987E+00 -1.5574323187E+01  2.0067953174E+01  1.3874907593E+01  2.9379881041E+00 -1.3288953669E+01  3.5854033896E+01  2.5361898112E+01 -7.6457244769E+00 -5.4082091901E+00  2.2008468773E+00  1.4092962130E+02 -8.0507087958E+01
  4.0000000000E+01 -8.5000000000E+01  3.0371894513E+00  5.1485079493E+01  1.4327948258E+01  3.8097332732E+00  6.6853862312E+00 -1.5554120837E+01  2.0206334087E+01  1.4009177001E+01  2.8284565710E+00 -1.3347079866E+01  3.6212531079E+01  2.4715325280E+01 -7.6317980435E+00 -5.4220148175E+00  2.3382872439E+00  1.4140060446E+02 -8.0936063571E+01
  4.5000000000E+01 -8.5000000000E+01  3.2334637966E+00  5.1928100195E+01  1.3763621242E+01  3.9737137605E+00  6.6712335672E+00 -1.5527551376E+01  2.0293878919E+01  1.4199793811E+01  2.7081684681E+00 -1.3473237028E+01  3.6484447969E+01  2.4111290461E+01 -7.5608918548E+00 -5.4273751525E+00  2.4717136893E+00  1.4166826816E+02 -8.1369756871E+01
