Adjusted F10.7 flux from the LASP penticton radio data

Downloaded from 1965/01/01 in csv format
https://lasp.colorado.edu/lisird/data/penticton_radio_flux/

Converted with IDL:
logfilename='penticton_radio_flux.csv'
read_log_data
jul2greg, wlog(*,0), month, day, year, hour, minute
openw,1,'f107new.txt'
for i=0,n_elements(year)-1 do $
   printf,1,year(i),month(i),day(i),hour(i),minute(i),wlog(i,1), $
   format='(i4,4i3,f7.1)'
close,1

year mo dy hr mn f107
#START
1965  1  1 16 48   84.1
1965  1  2 16 48   82.8
1965  1  3 16 48   80.7
1965  1  4 16 48   79.3
1965  1  5 16 48   78.6
1965  1  6 16 48   79.0
1965  1  7 16 48   76.9
1965  1  8 16 48   76.1
1965  1  9 16 48   75.3
1965  1 10 16 48   74.7
1965  1 11 16 48   73.8
1965  1 12 16 48   73.8
1965  1 13 16 48   73.7
1965  1 14 16 48   73.1
1965  1 15 16 48   73.4
1965  1 16 16 48   72.3
1965  1 17 16 48   72.2
1965  1 18 16 48   73.1
1965  1 19 16 48   72.5
1965  1 20 16 48   74.7
1965  1 21 16 48   75.2
1965  1 22 16 48   75.3
1965  1 23 16 48   74.2
1965  1 24 16 48   74.9
1965  1 25 16 48   74.1
1965  1 26 16 48   74.5
1965  1 27 16 48   77.7
1965  1 28 16 48   76.0
1965  1 29 16 48   77.5
1965  1 30 16 48   79.5
1965  1 31 16 48   78.6
1965  2  1 16 48   77.0
1965  2  2 16 48   77.6
1965  2  3 16 48   77.3
1965  2  4 16 48   76.0
1965  2  5 16 48   74.9
1965  2  6 16 48   74.9
1965  2  7 16 48   76.0
1965  2  8 16 48   74.0
1965  2  9 16 48   74.0
1965  2 10 16 48   74.5
1965  2 11 16 48   72.4
1965  2 12 16 48   71.8
1965  2 13 16 48   71.2
1965  2 14 16 48   70.7
1965  2 15 16 48   71.3
1965  2 16 16 48   72.0
1965  2 17 16 48   72.2
1965  2 18 16 48   71.0
1965  2 19 16 48   71.2
1965  2 20 16 48   70.3
1965  2 21 16 48   70.6
1965  2 22 16 48   70.9
1965  2 23 16 48   72.0
1965  2 24 16 48   73.5
1965  2 25 16 48   73.2
1965  2 26 16 48   72.9
1965  2 27 16 48   75.2
1965  2 28 16 48   75.4
1965  3  1 16 48   75.5
1965  3  2 16 48   74.4
1965  3  3 16 48   74.1
1965  3  4 16 48   74.2
1965  3  5 16 48   75.3
1965  3  6 16 48   75.9
1965  3  7 16 48   76.3
1965  3  8 16 48   73.7
1965  3  9 16 48   72.3
1965  3 10 16 48   72.4
1965  3 11 16 48   71.3
1965  3 12 16 48   72.9
1965  3 13 16 48   75.0
1965  3 14 16 48   74.1
1965  3 15 16 48   72.1
1965  3 16 16 48   70.8
1965  3 17 16 48   71.1
1965  3 18 16 48   74.6
1965  3 19 16 48   76.7
1965  3 20 16 48   74.1
1965  3 21 16 48   73.8
1965  3 22 16 48   72.4
1965  3 23 16 48   72.8
1965  3 24 16 48   72.3
1965  3 25 16 48   73.6
1965  3 26 16 48   73.2
1965  3 27 16 48   72.0
1965  3 28 16 48   71.7
1965  3 29 16 48   72.0
1965  3 30 16 48   71.5
1965  3 31 16 48   71.7
1965  4  1 16 48   71.2
1965  4  2 16 48   71.7
1965  4  3 16 48   71.4
1965  4  4 16 48   71.2
1965  4  5 16 48   70.9
1965  4  6 16 48   71.1
1965  4  7 16 48   71.0
1965  4  8 16 48   70.8
1965  4  9 16 48   72.1
1965  4 10 16 48   73.5
1965  4 11 16 48   74.2
1965  4 12 16 48   73.8
1965  4 13 16 48   74.1
1965  4 14 16 48   75.9
1965  4 15 16 48   75.5
1965  4 16 16 48   75.2
1965  4 17 16 48   73.8
1965  4 18 16 48   73.6
1965  4 19 16 48   74.8
1965  4 20 16 48   73.1
1965  4 21 16 48   73.8
1965  4 22 16 48   73.5
1965  4 23 16 48   74.0
1965  4 24 16 48   71.7
1965  4 25 16 48   70.5
1965  4 26 16 48   70.0
1965  4 27 16 48   70.1
1965  4 28 16 48   70.5
1965  4 29 16 48   71.2
1965  4 30 16 48   71.0
1965  5  1 16 48   72.2
1965  5  2 16 48   72.0
1965  5  3 16 48   71.9
1965  5  4 16 48   70.9
1965  5  5 16 48   70.2
1965  5  6 16 48   71.7
1965  5  7 16 48   72.7
1965  5  8 16 48   73.4
1965  5  9 16 48   73.8
1965  5 10 16 48   73.5
1965  5 11 16 48   72.6
1965  5 12 16 48   73.3
1965  5 13 16 48   76.0
1965  5 14 16 48   77.0
1965  5 15 16 48   82.3
1965  5 16 16 48   88.3
1965  5 17 16 48   93.2
1965  5 18 16 48   92.5
1965  5 19 16 48   94.6
1965  5 20 16 48   97.0
1965  5 21 16 48   95.1
1965  5 22 16 48   94.5
1965  5 23 16 48   88.4
