Equatorial Region (ABS(MLAT) < 15 degrees)
==========================================

***************************************************
Lower-band chorus
kp < 2
***************************************************

         MLT          L         B_wave^2
         (h)                    (pT^2)

      0.50000      1.05000      99999.0
      0.50000      1.15000      99999.0
      0.50000      1.25000      99999.0
      0.50000      1.35000      99999.0
      0.50000      1.45000      99999.0
      0.50000      1.55000      99999.0
      0.50000      1.65000     0.219999
      0.50000      1.75000      1.39910
      0.50000      1.85000      11.8408
      0.50000      1.95000      3.24535
      0.50000      2.05000      1.28643
      0.50000      2.15000      2.13607
      0.50000      2.25000      1.00630
      0.50000      2.35000      1.37256
      0.50000      2.45000      2.65524
      0.50000      2.55000      990.572
      0.50000      2.65000      826.521
      0.50000      2.75000      146.544
      0.50000      2.85000      4.07480
      0.50000      2.95000     0.790994
      0.50000      3.05000      1.21736
      0.50000      3.15000      1.41352
      0.50000      3.25000      2.18556
      0.50000      3.35000      2.35228
      0.50000      3.45000      2.42834
      0.50000      3.55000      3.09332
      0.50000      3.65000      8.59072
      0.50000      3.75000      12.3869
      0.50000      3.85000      11.4831
      0.50000      3.95000      13.8824
      0.50000      4.05000      22.4220
      0.50000      4.15000      32.9411
      0.50000      4.25000      24.9450
      0.50000      4.35000      22.3034
      0.50000      4.45000      14.2653
      0.50000      4.55000      13.0964
      0.50000      4.65000      23.3161
      0.50000      4.75000      28.4367
      0.50000      4.85000      20.2006
      0.50000      4.95000      25.3026
      0.50000      5.05000      25.9284
      0.50000      5.15000      25.6083
      0.50000      5.25000      12.6147
      0.50000      5.35000      12.1657
      0.50000      5.45000      43.1428
      0.50000      5.55000      9.24449
      0.50000      5.65000      8.86877
      0.50000      5.75000      8.89056
      0.50000      5.85000      6.66882
      0.50000      5.95000      11.0369
      0.50000      6.05000      7.91595
      0.50000      6.15000      5.37393
      0.50000      6.25000      20.5041
      0.50000      6.35000      3.68712
      0.50000      6.45000      366.542
      0.50000      6.55000      74.1790
      0.50000      6.65000      82.1187
      0.50000      6.75000      380.283
      0.50000      6.85000      445.127
      0.50000      6.95000      243.865
      0.50000      7.05000      99999.0
      0.50000      7.15000      99999.0
      0.50000      7.25000      99999.0
      0.50000      7.35000      99999.0
      0.50000      7.45000      99999.0
      0.50000      7.55000      99999.0
      0.50000      7.65000      99999.0
      0.50000      7.75000      99999.0
      0.50000      7.85000      99999.0
      0.50000      7.95000      99999.0
      1.50000      1.05000      99999.0
      1.50000      1.15000      99999.0
      1.50000      1.25000      99999.0
      1.50000      1.35000      99999.0
      1.50000      1.45000      99999.0
      1.50000      1.55000      99999.0
      1.50000      1.65000      99999.0
      1.50000      1.75000      99999.0
      1.50000      1.85000      3.58187
      1.50000      1.95000      10.0582
      1.50000      2.05000      5.62285
